"","age_class","Total","var","date"
"460","75+","368","death_cumul_comb","2020-03-30"
"461","0-17","1","death_cumul_comb","2020-03-31"
"462","18-44","54","death_cumul_comb","2020-03-31"
"463","45-64","216","death_cumul_comb","2020-03-31"
"464","65-74","215","death_cumul_comb","2020-03-31"
"465","75+","428","death_cumul_comb","2020-03-31"
"466","0-17","1","death_cumul_comb","2020-04-01"
"467","18-44","67","death_cumul_comb","2020-04-01"
"468","45-64","259","death_cumul_comb","2020-04-01"
"469","65-74","255","death_cumul_comb","2020-04-01"
"470","75+","514","death_cumul_comb","2020-04-01"
"471","0-17","1","death_cumul_comb","2020-04-02"
"472","18-44","78","death_cumul_comb","2020-04-02"
"473","45-64","333","death_cumul_comb","2020-04-02"
"474","65-74","334","death_cumul_comb","2020-04-02"
"475","75+","628","death_cumul_comb","2020-04-02"
"476","0-17","1","death_cumul_comb","2020-04-03"
"477","18-44","90","death_cumul_comb","2020-04-03"
"478","45-64","382","death_cumul_comb","2020-04-03"
"479","65-74","376","death_cumul_comb","2020-04-03"
"480","75+","713","death_cumul_comb","2020-04-03"
"481","0-17","1","death_cumul_comb","2020-04-04"
"482","18-44","110","death_cumul_comb","2020-04-04"
"483","45-64","442","death_cumul_comb","2020-04-04"
"484","65-74","461","death_cumul_comb","2020-04-04"
"485","75+","853","death_cumul_comb","2020-04-04"
"486","0-17","2","death_cumul_comb","2020-04-05"
"487","18-44","132","death_cumul_comb","2020-04-05"
"488","45-64","535","death_cumul_comb","2020-04-05"
"489","65-74","557","death_cumul_comb","2020-04-05"
"490","75+","1028","death_cumul_comb","2020-04-05"
"491","0-17","2","death_cumul_comb","2020-04-06"
"492","18-44","140","death_cumul_comb","2020-04-06"
"493","45-64","587","death_cumul_comb","2020-04-06"
"494","65-74","612","death_cumul_comb","2020-04-06"
"495","75+","1131","death_cumul_comb","2020-04-06"
"496","0-17","2","death_cumul_comb","2020-04-07"
"497","18-44","148","death_cumul_comb","2020-04-07"
"498","45-64","652","death_cumul_comb","2020-04-07"
"499","65-74","686","death_cumul_comb","2020-04-07"
"500","75+","1250","death_cumul_comb","2020-04-07"
"501","0-17","2","death_cumul_comb","2020-04-08"
"502","18-44","201","death_cumul_comb","2020-04-08"
"503","45-64","853","death_cumul_comb","2020-04-08"
"504","65-74","879","death_cumul_comb","2020-04-08"
"505","75+","1609","death_cumul_comb","2020-04-08"
"506","0-17","3","death_cumul_comb","2020-04-09"
"507","18-44","219","death_cumul_comb","2020-04-09"
"508","45-64","1020","death_cumul_comb","2020-04-09"
"509","65-74","1064","death_cumul_comb","2020-04-09"
"510","75+","1952","death_cumul_comb","2020-04-09"
"511","0-17","3","death_cumul_comb","2020-04-10"
"512","18-44","241","death_cumul_comb","2020-04-10"
"513","45-64","1143","death_cumul_comb","2020-04-10"
"514","65-74","1187","death_cumul_comb","2020-04-10"
"515","75+","2204","death_cumul_comb","2020-04-10"
"516","0-17","3","death_cumul_comb","2020-04-11"
"517","18-44","265","death_cumul_comb","2020-04-11"
"518","45-64","1283","death_cumul_comb","2020-04-11"
"519","65-74","1335","death_cumul_comb","2020-04-11"
"520","75+","2543","death_cumul_comb","2020-04-11"
"521","0-17","3","death_cumul_comb","2020-04-12"
"522","18-44","270","death_cumul_comb","2020-04-12"
"523","45-64","1357","death_cumul_comb","2020-04-12"
"524","65-74","1415","death_cumul_comb","2020-04-12"
"525","75+","2697","death_cumul_comb","2020-04-12"
"526","0-17","3","death_cumul_comb","2020-04-13"
"527","18-44","284","death_cumul_comb","2020-04-13"
"528","45-64","1449","death_cumul_comb","2020-04-13"
"529","65-74","1511","death_cumul_comb","2020-04-13"
"530","75+","2935","death_cumul_comb","2020-04-13"
"531","0-17","3","death_cumul_comb","2020-04-14"
"532","18-44","358","death_cumul_comb","2020-04-14"
"533","45-64","1982","death_cumul_comb","2020-04-14"
"534","65-74","2066","death_cumul_comb","2020-04-14"
